регион,уровень,год,количество_квартир
Республика Мордовия,регион,2006,2740
Республика Татарстан (Татарстан),регион,2006,17980
Удмуртская Республика,регион,2006,4730
Чувашская Республика - Чувашия,регион,2006,8616
Пермский край,регион,2006,9993
Кировская область,регион,2006,4710
Нижегородская область,регион,2006,10332
Оренбургская область,регион,2006,6449
Пензенская область,регион,2006,4894
Самарская область,регион,2006,8692
Саратовская область,регион,2006,9981
Ульяновская область,регион,2006,4025
Уральский федеральный округ,федеральный_округ,2006,57293
Курганская область,регион,2006,1951
Свердловская область,регион,2006,16092
Тюменская область,регион,2006,23985
Ханты-Мансийский автономный округ - Югра,регион,2006,11189
Ямало-Ненецкий автономный округ,регион,2006,4313
Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа),регион,2006,8483
Челябинская область,регион,2006,15265
Сибирский федеральный округ,федеральный_округ,2006,70461
Республика Алтай,регион,2006,679
Республика Тыва,регион,2006,359
Республика Хакасия,регион,2006,1429
Алтайский край,регион,2006,5466
Красноярский край,регион,2006,13116
Иркутская область,регион,2006,4120
Кемеровская область,регион,2006,11660
Новосибирская область,регион,2006,15584
Омская область,регион,2006,12299
Томская область,регион,2006,5749
Дальневосточный федеральный округ,федеральный_округ,2006,19102
Республика Бурятия,регион,2006,2932
Республика Саха (Якутия),регион,2006,3668
Забайкальский край,регион,2006,2505
Камчатский край,регион,2006,355
Приморский край,регион,2006,3562
Хабаровский край,регион,2006,3005
Амурская область,регион,2006,1847
Магаданская область,регион,2006,194
Сахалинская область,регион,2006,576
Еврейская автономная область,регион,2006,309
Чукотский автономный округ,регион,2006,149
Российская Федерация,страна,2007,722453
Центральный федеральный округ,федеральный_округ,2007,233610
Белгородская область,регион,2007,11857
Брянская область,регион,2007,3651
Владимирская область,регион,2007,4587
Воронежская область,регион,2007,12362
Ивановская область,регион,2007,1674
Калужская область,регион,2007,5674
Костромская область,регион,2007,1428
Курская область,регион,2007,5216
Липецкая область,регион,2007,6902
Московская область,регион,2007,81219
Орловская область,регион,2007,4472
Рязанская область,регион,2007,6080
